x,y,z,magnitude,time
-0.916,-0.08,-0.186,0.938,16.78
-1.623,-0.166,0.025,1.632,16.86
-2.332,0.107,0.242,2.347,16.93
-1.996,-0.201,-0.174,2.014,17
-0.777,0.08,0.221,0.812,17.07
0.627,0.186,-0.055,0.656,17.14
0.506,-0.096,-0.018,0.515,17.21
-0.902,0.154,0.328,0.972,17.28
-1.043,-0.002,-0.031,1.043,17.36
-2.51,0.086,-0.096,2.513,17.43
-1.551,-0.066,0.059,1.553,17.5
-0.705,0.008,-0.037,0.706,17.57
-0.186,-0.002,-0.025,0.187,17.64
-0.365,0.023,-0.16,0.399,17.72
-2.059,-0.016,0.459,2.109,17.79
-1.17,0.012,0.186,1.185,17.86
-0.254,-0.043,-0.287,0.386,17.93
-0.828,0.016,-0.117,0.837,18
-1.037,-0.037,-0.221,1.061,18.08
-0.723,0.115,-0.152,0.747,18.15
-1.285,-0.002,-0.012,1.285,18.22
-2.148,0.029,0.051,2.149,18.29
-2.195,0.18,0.023,2.203,18.36
-1.545,-0.016,0.037,1.545,18.43
0.24,0.051,-0.254,0.353,18.5
1.119,-0.191,-0.693,1.33,18.58
-0.426,0.076,0.084,0.441,18.65
-0.469,0.02,0.143,0.49,18.72
-2.209,-0.033,-0.17,2.216,18.79
-2.434,0.236,0.549,2.506,18.86
-1.084,-0.154,-0.074,1.097,18.93
-0.236,0.197,0.037,0.31,19
-0.227,-0.027,-0.166,0.282,19.08
-1.023,-0.004,-0.105,1.029,19.15
-1.463,0.107,-0.027,1.467,19.22
-1.037,0.117,0.637,1.223,19.29
-0.195,0.113,-0.693,0.729,19.36
-0.74,-0.148,0.039,0.756,19.44
-1.451,0.07,-0.004,1.453,19.51
-2.07,0.447,-0.09,2.12,19.58
-2.16,-0.074,-0.16,2.167,19.65
-1.277,-0.111,-0.119,1.288,19.72
0.076,0.105,0.096,0.162,19.79
1.16,-0.088,-0.594,1.306,19.87
-0.352,-0.135,-0.215,0.433,19.94
-0.814,0.297,0.029,0.867,20.01
-2.658,-0.205,-0.332,2.687,20.08
-1.607,0.186,0.141,1.624,20.15
-0.902,-0.055,-0.043,0.905,20.23
-0.174,-0.119,-0.291,0.359,20.3
-0.16,-0.002,-0.209,0.263,20.37
-2.758,0.391,-0.014,2.785,20.44
-0.959,-0.07,-0.109,0.968,20.52
-0.613,-0.092,-0.129,0.633,20.59
-1.67,0.082,-0.166,1.68,20.66
-2.014,0.535,-0.236,2.097,20.73
-2.23,0.008,-0.162,2.236,20.8
-1.404,-0.197,-0.006,1.418,20.88
0.164,0.117,-0.352,0.405,20.95
1.076,-0.092,-0.555,1.214,21.02
-0.326,-0.027,0.02,0.328,21.09
-0.4,0.135,0.174,0.457,21.16
-3.775,0.262,-0.338,3.8,21.23
-1.707,-0.055,-0.447,1.766,21.31
-1.004,0.176,0.266,1.053,21.38
-0.295,-0.281,-0.166,0.44,21.45
-0.324,0.119,-0.176,0.388,21.52
-1.18,0.332,-0.18,1.239,21.59
-1.203,-0.119,0.096,1.213,21.67
-0.564,0.234,-0.236,0.655,21.74
-0.943,-0.047,-0.148,0.956,21.81
-0.746,-0.035,-0.041,0.748,21.88
-1.33,0.102,-0.047,1.335,21.95
-2.102,0.039,-0.1,2.104,22.03
-2.1,0.111,-0.012,2.103,22.1
-1.213,-0.162,-0.15,1.233,22.17
0.082,0.246,-0.008,0.26,22.24
1.031,-0.033,-0.732,1.265,22.31
-0.273,-0.143,-0.027,0.31,22.39
-1.078,0.01,0.016,1.078,22.46
-2.459,-0.238,0.193,2.478,22.53
-1.646,0.25,-0.033,1.666,22.6
-0.793,-0.129,0.076,0.807,22.67
-0.084,-0.209,-0.254,0.339,22.75
-0.973,0.008,-0.311,1.021,22.82
-1.391,0.221,0.078,1.41,22.89
-0.645,-0.039,0.102,0.654,22.96
-0.547,-0.127,-0.248,0.614,23.03
-1.281,-0.107,0.232,1.307,23.1
-1.789,0.197,-0.121,1.804,23.18
-2.156,0.143,0.326,2.185,23.25
-2.064,-0.096,-0.051,2.067,23.32
-0.908,0.164,0.207,0.946,23.39
0.48,-0.043,-0.217,0.529,23.46
0.457,-0.08,-0.238,0.522,23.53
-0.521,0.045,0.18,0.553,23.6
-1.506,0.271,-0.168,1.539,23.68
-3.363,-0.074,-0.342,3.381,23.75
-1.553,0.35,0.104,1.595,23.82
-0.734,-0.082,-0.025,0.739,23.89
-0.242,-0.088,-0.244,0.355,23.96
-0.707,0.082,-0.154,0.728,24.04
-1.354,0.088,0.01,1.356,24.11
-0.947,0.029,0.195,0.968,24.18
-0.578,0.012,-0.166,0.602,24.25
-1.055,-0.137,-0.092,1.067,24.32
-1.078,-0.096,-0.123,1.089,24.4
-1.148,0.25,0.074,1.178,24.47
-2.174,0.311,0.211,2.206,24.54
-2.004,-0.164,0.049,2.011,24.61
-1.178,-0.084,0.156,1.191,24.68
0.494,0.17,-0.785,0.943,24.75
0.939,-0.141,-0.762,1.218,24.82
-0.674,0.076,0.338,0.758,24.89
-0.668,0.008,-0.381,0.769,24.97
-2.916,0.285,0.467,2.967,25.04
-2.086,0.27,0.533,2.17,25.11
-1.09,-0.174,0.068,1.106,25.18
-0.127,-0.047,-0.334,0.36,25.25
-0.273,0.094,0.016,0.289,25.32
-1.732,-0.24,0.004,1.749,25.39
-1.131,-0.018,0.209,1.15,25.47
-0.453,0.133,-0.174,0.503,25.54
-0.615,0.055,0.145,0.634,25.61
-1.016,-0.137,-0.084,1.028,25.68
-2.053,-0.082,-0.18,2.062,25.75
-2.109,0.262,0.287,2.145,25.82
-1.381,-0.225,-0.092,1.402,25.9
0.074,0.24,-0.104,0.272,25.97
1.187,0.254,-0.619,1.363,26.04
-0.283,-0.006,-0.15,0.321,26.11
-0.707,-0.072,0.369,0.801,26.18
-3.502,-0.207,0.709,3.579,26.25
-2.068,-0.119,-0.049,2.072,26.33
-0.9,0.236,0.205,0.953,26.4
-0.23,-0.158,-0.301,0.411,26.47
-0.338,-0.162,-0.129,0.396,26.54
-0.959,0.193,-0.273,1.016,26.62
-1.057,0.01,0.104,1.062,26.69
-0.402,0.057,-0.266,0.485,26.76
-1.09,-0.277,-0.102,1.129,26.83
-2.621,0.477,0.123,2.667,26.9
-2.363,0.373,-0.117,2.395,26.97
-1.537,-0.266,-0.248,1.579,27.05
-0.471,0.355,0.168,0.613,27.12
1.072,0.113,-0.355,1.135,27.19
-0.016,-0.402,-0.299,0.501,27.26
-0.713,0.137,0.225,0.76,27.33
-2.744,0.16,-0.023,2.749,27.4
-2.449,0.396,-0.6,2.553,27.47
-1.471,-0.1,0.355,1.516,27.55
-0.391,-0.025,-0.459,0.603,27.62
-0.195,0.324,-0.318,0.495,27.69
-1.008,0.088,0.199,1.031,27.76
-1.535,-0.143,-0.32,1.575,27.83
-1.168,0.281,-0.01,1.201,27.91
-0.729,-0.012,-0.029,0.729,27.98
-0.467,-0.104,-0.197,0.517,28.05
-0.52,-0.031,-0.236,0.572,28.13
-2.791,0.266,1.014,2.981,28.2
-2.371,0.01,0.158,2.376,28.27
-0.834,0.17,-0.336,0.915,28.34
0.309,-0.082,-0.008,0.319,28.41
0.934,-0.176,-0.535,1.09,28.48
-0.5,0.242,0.213,0.595,28.55
-0.984,0.074,0.057,0.989,28.62
-3.258,0.033,-0.186,3.263,28.69
-1.199,0.467,0.324,1.327,28.77
